date, pm25, pm10, o3, no2, so2, co
2024/12/1, 157, , , , , 
2024/11/1, 207, 108, 24, 20, 4, 6
2024/11/2, 130, 81, 52, 19, 3, 5
2024/11/3, 122, 75, 22, 19, 3, 6
2024/11/4, 121, 75, 20, 19, 3, 7
2024/11/5, 122, 77, 29, 18, 3, 7
2024/11/6, 114, 75, 48, 18, 3, 7
2024/11/7, 126, 72, 17, 17, 3, 7
2024/11/8, 94, 75, 42, 17, 3, 6
2024/11/9, 95, 72, 19, 16, 4, 7
2024/11/10, 130, 61, 73, 12, 14, 7
2024/11/11, 109, 64, 25, 11, 3, 6
2024/11/12, 87, 68, 23, 10, 3, 7
2024/11/13, 106, 74, 19, 12, 3, 7
2024/11/14, 131, 75, 20, 13, 3, 8
2024/11/15, 132, 74, 21, 12, 3, 7
2024/11/16, 154, 68, 21, 7, 3, 6
2024/11/17, 136, 72, 23, 9, 2, 6
2024/11/18, 120, 78, 49, 7, 2, 6
2024/11/19, 127, 80, 23, 7, 1, 6
2024/11/20, 130, 88, 28, 8, 2, 8
2024/11/21, 127, 88, 23, 10, 2, 9
2024/11/22, 146, 81, 19, 9, 2, 9
2024/11/23, 122, 77, 15, 6, 2, 7
2024/11/24, 122, 69, 15, 7, 2, 7
2024/11/25, 107, 79, 15, 7, 2, 8
2024/11/26, 137, 71, 15, 6, 2, 8
2024/11/27, 135, 77, 22, 6, 2, 7
2024/11/28, 126, 75, 23, 7, 2, 8
2024/11/29, 143, 85, 20, 6, 1, 8
2024/11/30, 155, 79, 6, 4, 2, 7
2024/10/1, 77, 56, 17, 7, 4, 3
2024/10/2, 79, 52, 15, 7, 4, 2
2024/10/3, 120, 53, 20, 7, 3, 3
2024/10/4, 97, 56, 12, 7, 3, 2
2024/10/5, 117, 52, 5, 7, 3, 2
2024/10/6, 69, 56, 5, 7, 4, 4
2024/10/7, 74, 61, 9, 5, 12, 4
2024/10/8, 111, 53, 7, 8, 1, 3
2024/10/9, 96, 54, 5, 9, 1, 4
2024/10/10, 109, 55, 5, 9, 1, 4
2024/10/11, 96, 57, 5, 9, 1, 5
2024/10/12, 122, 53, 13, 8, 1, 4
2024/10/13, 106, 49, 29, 8, 3, 5
2024/10/14, 96, 55, 5, 6, 4, 4
2024/10/15, 100, 55, 5, 6, 4, 5
2024/10/16, 106, 59, 23, 5, 11, 11
2024/10/17, 107, 66, 8, 4, 3, 5
2024/10/18, 125, 75, 8, 4, 2, 6
2024/10/19, 125, 71, 8, 4, 3, 5
2024/10/20, 111, 60, 20, 4, 2, 4
2024/10/21, 108, 68, 9, 6, 2, 5
2024/10/22, 127, 63, 27, 7, 2, 3
2024/10/23, 120, 68, 38, 7, 3, 9
2024/10/24, 113, 78, 24, 7, 2, 7
2024/10/25, 146, 72, 18, 8, 2, 7
2024/10/26, 123, 78, 20, 9, 3, 7
2024/10/27, 102, 76, 41, 12, 2, 7
2024/10/28, 133, 75, 20, 14, 3, 7
2024/10/29, 127, 75, 36, 21, 2, 7
2024/10/30, 119, 94, 17, 22, 4, 6
2024/10/31, 144, 171, 20, 20, 4, 7
2024/7/1, 92, 46, 21, 4, 3, 2
2024/7/2, 85, 58, 34, 3, 3, 3
2024/7/3, 101, 43, 10, 4, 3, 3
2024/7/4, 96, 42, 9, 4, 5, 3
2024/7/5, 96, 45, 112, 4, 4, 2
2024/7/6, 101, 65, 91, 4, 3, 1
2024/7/7, 125, 48, 144, 4, 9, 16
2024/7/8, 109, 49, 62, 4, 4, 4
2024/7/9, 104, , , , , 
2024/7/11, 96, 52, 194, 4, 4, 5
2024/7/12, 72, 60, 165, 4, 2, 5
2024/7/13, 110, 61, 17, 4, 3, 4
2024/7/14, 87, 60, 143, 4, 3, 3
2024/7/15, 93, 57, 13, 4, 3, 4
2024/7/16, 86, 54, 2, 4, 4, 5
2024/7/17, 74, 53, 2, 4, 4, 4
2024/7/18, 97, 54, 5, 4, 3, 5
2024/7/19, 93, 55, 15, 4, 3, 5
2024/7/20, 78, 62, 6, 4, 3, 6
2024/7/21, 70, 50, 5, 4, 3, 5
2024/7/22, 55, 41, 17, 4, 4, 6
2024/7/23, 89, 49, 15, 4, 3, 5
2024/7/24, 93, 51, 18, 4, 3, 4
2024/7/25, 82, 60, 45, 4, 3, 5
2024/7/26, 93, 58, 14, 4, 3, 5
2024/7/27, 98, 47, 11, 4, 3, 5
2024/7/28, 82, 47, 48, 4, 2, 5
2024/7/29, 88, 44, 32, 4, 10, 19
2024/7/30, 83, 40, 25, 4, 3, 2
2024/7/31, 74, 41, 52, 4, 3, 1
2024/8/1, 80, 32, 44, 4, 3, 1
2024/8/2, 73, 37, 36, 4, 3, 2
2024/8/3, 66, 36, 12, 4, 3, 2
2024/8/4, 67, 28, 8, 4, 5, 7
2024/8/5, 67, 30, 5, 4, 3, 3
2024/8/6, 75, 39, 4, 4, 3, 4
2024/8/7, 84, 54, 23, 4, 3, 4
2024/8/8, 91, 53, 6, 4, 3, 4
