date, pm25, pm10, o3, no2, so2, co
2024/12/1, 239, , , , , 
2024/11/1, 324, 164, 74, 32, 16, 13
2024/11/2, 216, 268, 73, 38, 21, 19
2024/11/3, 308, 228, 69, 35, 14, 17
2024/11/4, 279, 170, 69, 32, 13, 14
2024/11/5, 225, 190, 84, 32, 12, 17
2024/11/6, 249, 265, 61, 32, 11, 22
2024/11/7, 311, 196, 65, 27, 10, 17
2024/11/8, 294, 184, 67, 24, 9, 14
2024/11/9, 261, 155, 64, 26, 8, 15
2024/11/10, 218, 162, 65, 29, 6, 23
2024/11/11, 223, 201, 54, 31, 8, 18
2024/11/12, 239, 459, 44, 37, 11, 30
2024/11/13, 464, 402, 37, 31, 12, 34
2024/11/14, 366, , , , , 
2024/11/16, 314, 438, 60, 34, 12, 30
2024/11/17, 441, 693, 43, 30, 11, 31
2024/11/18, 584, 239, 47, 34, 13, 18
2024/11/19, 315, 220, 65, 32, 12, 14
2024/11/20, 301, 177, 65, 34, 12, 14
2024/11/21, 257, 270, 67, 37, 12, 19
2024/11/22, 335, 222, 73, 37, 14, 16
2024/11/23, 297, 131, 57, 28, 10, 10
2024/11/24, 191, 238, 56, 30, 9, 16
2024/11/25, 311, 145, 54, 28, 10, 9
2024/11/26, 212, 143, 59, 30, 10, 12
2024/11/27, 203, 167, 57, 36, 11, 20
2024/11/28, 232, 208, 55, 43, 11, 26
2024/11/29, 254, 178, 50, 37, 9, 16
2024/11/30, 246, 165, 3, 36, 8, 14
2024/10/1, 159, 103, 29, 18, 7, 17
2024/10/2, 133, 107, 49, 20, 10, 34
2024/10/3, 122, 112, 35, 21, 8, 19
2024/10/4, 132, 91, 32, 17, 7, 14
2024/10/5, 105, 83, 53, 17, 6, 13
2024/10/6, 113, 91, 51, 23, 9, 17
2024/10/7, 122, 112, 60, 25, 9, 19
2024/10/8, 148, 102, 64, 25, 7, 27
2024/10/9, 145, 100, 51, 28, 8, 24
2024/10/10, 123, 97, 60, 30, 10, 12
2024/10/11, 153, 101, 65, 26, 9, 19
2024/10/12, 147, 111, 59, 30, 12, 75
2024/10/13, 156, 141, 60, 31, 9, 23
2024/10/14, 170, 126, 67, 28, 11, 18
2024/10/15, 163, 128, 68, 30, 9, 21
2024/10/16, 166, 206, 82, 36, 12, 28
2024/10/17, 204, 168, 66, 31, 14, 17
2024/10/18, 201, 208, 66, 31, 13, 18
2024/10/19, 212, 162, 67, 27, 10, 15
2024/10/20, 194, 167, 69, 29, 11, 17
2024/10/21, 207, 173, 57, 31, 10, 19
2024/10/22, 213, 243, 59, 31, 10, 19
2024/10/23, 260, 162, 66, 32, 8, 14
2024/10/24, 204, 152, 53, 32, 9, 12
2024/10/25, 179, 163, 76, 38, 9, 15
2024/10/26, 199, 186, 72, 33, 8, 15
2024/10/27, 238, 156, 63, 31, 7, 14
2024/10/28, 217, 138, 52, 32, 7, 14
2024/10/29, 189, 179, 64, 39, 8, 20
2024/10/30, 211, 272, 58, 35, 12, 18
2024/10/31, 284, 280, 53, 23, 20, 9
2024/7/1, 103, 68, 11, 4, , 6
2024/7/2, 100, 58, 6, 3, 1, 7
2024/7/3, 99, 37, 6, 3, , 6
2024/7/4, 62, 65, 7, 5, , 8
2024/7/5, 93, 45, 10, 4, , 6
2024/7/6, 71, 33, 10, 7, , 4
2024/7/7, 34, 40, 10, 5, 1, 5
2024/7/8, 60, 66, 5, 4, , 8
2024/7/9, 100, 75, 6, 6, , 8
2024/7/10, 134, 79, 11, 5, , 7
2024/7/11, 126, 72, 8, 7, , 7
2024/7/12, 71, 69, 20, 6, , 6
2024/7/13, 119, 64, 8, 4, , 5
2024/7/14, 138, 65, 9, 5, 1, 6
2024/7/15, 144, 68, 9, 6, , 6
2024/7/16, 148, 61, 12, 6, 1, 13
2024/7/17, 89, 56, 5, 4, , 7
2024/7/18, 105, 93, 10, 5, , 10
2024/7/19, 161, 63, 11, 3, , 6
2024/7/20, 131, 59, 3, 3, , 5
2024/7/21, 127, 64, 2, 4, , 6
2024/7/22, 114, 70, 2, 4, , 8
2024/7/23, 134, 67, 7, 4, , 7
2024/7/24, 131, 57, 3, 4, , 6
2024/7/25, 115, 71, 4, 5, , 9
2024/7/26, 139, 62, 4, 4, , 7
2024/7/27, 120, 49, 3, 3, , 6
2024/7/28, 82, 54, 6, 3, , 5
2024/7/29, 95, 64, 5, 3, , 7
2024/7/30, 129, 55, 6, 3, , 6
2024/7/31, 114, 24, 5, 3, , 5
2024/8/1, 52, 43, 6, 7, , 7
2024/8/2, 74, 43, 11, 10, , 6
2024/8/3, 70, 46, 12, 10, , 5
2024/8/4, 51, 38, 11, 10, , 4
2024/8/5, 59, 40, 11, 7, , 4
2024/8/6, 60, 38, 8, 4, , 4
2024/8/7, 75, 32, 10, 4, 1, 4
2024/8/8, 61, 41, 10, 4, 1, 4
2024/8/9, 82, 49, 6, 4, 1, 6
2024/8/10, 98, 38, 10, 5, 1, 6
2024/8/11, 77, 35, 6, 5, 1, 6
2024/8/12, 79, 34, 9, 4, , 5
2024/8/13, 67, 56, 11, 5, 1, 7
2024/8/14, 103, 42, 10, 4, 1, 5
2024/8/15, 89, 41, 10, 4, 1, 6
2024/8/16, 72, 57, 16, 6, 1, 8
2024/8/17, 87, 64, 11, 5, , 7
2024/8/18, 92, 63, 12, 5, , 6
2024/8/19, 82, 57, 21, 6, , 7
2024/8/20, 79, 59, 27, 5, , 5
2024/8/21, 90, 59, 35, 5, , 5
2024/8/22, 91, 57, 52, 6, , 8
2024/8/23, 86, 82, 37, 8, 1, 13
2024/8/24, 138, 51, 31, 7, 1, 9
2024/8/25, 80, 47, 29, 8, 1, 4
2024/8/26, 84, 35, 23, 13, 2, 5
2024/8/27, 65, 33, 25, 12, 2, 6
2024/8/28, 64, 38, 14, 15, 3, 8
2024/8/29, 78, 69, 36, 19, 4, 11
2024/8/30, 122, 72, 41, 19, 3, 8
2024/8/31, 111, 74, 42, 18, 2, 9
2024/9/1, 123, 48, 24, 12, 2, 4
2024/9/2, 86, 55, 30, 13, 2, 6
2024/9/3, 94, 36, 22, 15, 2, 7
2024/9/4, 61, 59, 59, 16, 3, 9
2024/9/5, 103, 48, 27, 13, 3, 5
2024/9/6, 94, 42, 27, 16, 3, 7
2024/9/7, 72, 74, 12, 19, 3, 11
2024/9/8, 149, 72, 29, 18, 3, 10
2024/9/9, 140, 74, 28, 16, 4, 9
2024/9/10, 121, 67, 19, 19, 4, 13
2024/9/11, 98, 33, 13, 15, 3, 7
2024/9/12, 57, 28, 24, 14, 2, 7
2024/9/13, 55, 61, 21, 15, 3, 6
2024/9/14, 78, 100, 21, 18, 4, 11
2024/9/15, 119, 103, 38, 17, 4, 9
2024/9/16, 123, 102, 53, 18, 3, 7
2024/9/17, 129, 56, 12, 18, 2, 8
2024/9/18, 98, 48, 18, 14, 2, 6
2024/9/19, 85, 56, 33, 11, 3, 6
2024/9/20, 88, 47, 32, 13, 2, 13
2024/9/21, 80, 88, 42, 19, 5, 12
2024/9/22, 150, 107, 52, 22, 7, 14
2024/9/23, 166, 116, 50, 21, 6, 12
2024/9/24, 176, 101, 32, 13, 5, 10
2024/9/25, 163, 45, 23, 11, 7, 4
2024/9/26, 76, 34, 20, 10, 5, 5
2024/9/27, 51, 37, 27, 11, 8, 25
2024/9/28, 44, 52, 26, 13, 8, 53
2024/9/29, 77, 86, 37, 17, 8, 63
2024/9/30, 146, 100, 55, 15, 9, 30
2024/4/1, 99, 92, 29, 11, 3, 6
2024/4/2, 110, 109, 35, 12, 4, 7
2024/4/3, 142, 107, 29, 15, 4, 9
2024/4/4, 122, 111, 20, 11, 4, 6
2024/4/5, 128, 104, 29, 11, 4, 5
2024/4/6, 130, 105, 28, 14, 4, 7
2024/4/7, 136, 104, 29, 14, 4, 8
2024/4/8, 134, 113, 33, 14, 5, 8
2024/4/9, 147, 132, 38, 10, 4, 6
2024/4/10, 156, 143, 35, 10, 4, 6
2024/4/11, 151, 150, 36, 13, 5, 7
2024/4/12, 162, 124, 34, 7, 3, 5
2024/4/13, 135, 90, 21, 10, 3, 7
2024/4/14, 128, 122, 32, 15, 3, 10
2024/4/15, 162, 118, 27, 10, 3, 7
2024/4/16, 132, 89, 34, 7, 3, 4
2024/4/17, 95, 115, 33, 9, 4, 6
2024/4/18, 114, 116, 23, 9, 3, 6
2024/4/19, 114, 176, 30, 10, 3, 6
2024/4/20, 134, 85, 31, 10, 3, 6
2024/4/21, 93, 84, 33, 12, 2, 9
2024/4/22, 87, 136, 36, 9, 2, 6
2024/4/23, 126, 90, 33, 13, 2, 9
