date, pm25, pm10, o3, no2, so2, co
2024/12/1, 12, , , , , 
2024/11/1, 121, 34, 26, , 1, 1
2024/11/2, 115, 19, 34, , 1, 1
2024/11/3, 71, 15, 28, , 1, 1
2024/11/4, 61, 16, 22, , 1, 1
2024/11/5, 55, 14, 23, , 1, 1
2024/11/6, 54, 9, 19, , , 1
2024/11/7, 30, , , , , 
2024/11/11, 59, 10, 25, , , 
2024/11/14, 94, 19, 19, , , 1
2024/11/15, 73, 20, 15, , 1, 1
2024/11/16, 78, 20, 14, , 1, 1
2024/11/17, 74, 13, 15, , 1, 1
2024/11/18, 53, 12, 24, , , 
2024/11/19, 39, 12, 15, , , 
2024/11/20, 40, 12, 30, , , 1
2024/11/21, 48, 20, 40, , , 1
2024/11/22, 76, 29, 35, , , 1
2024/11/23, 102, 28, 30, , , 2
2024/11/24, 100, 19, 24, , , 1
2024/11/25, 74, 13, 25, , , 1
2024/11/26, 47, 12, 25, , 1, 
2024/11/27, 41, 11, 23, , , 
2024/11/28, 34, 10, 21, , , 1
2024/11/29, 40, 12, 23, , , 1
2024/11/30, 38, 3, 16, , , 
2024/10/1, 73, 13, , , 1, 1
2024/10/2, 52, 6, 3, , 1, 1
2024/10/3, 25, 13, 13, , , 1
2024/10/4, 61, 7, 13, , , 1
2024/10/5, 51, 1, 13, , , 1
2024/10/6, 73, 12, 7, , , 1
2024/10/7, 74, 19, 18, , , 1
2024/10/8, 73, 30, 25, , , 1
2024/10/9, 98, 32, 34, , , 1
2024/10/10, 103, 39, 35, , 1, 1
2024/10/11, 109, 36, 31, , 1, 1
2024/10/12, 113, 33, 30, , 1, 1
2024/10/13, 106, 33, 16, , 1, 2
2024/10/14, 103, 30, 18, , 1, 2
2024/10/15, 99, 37, 32, , 1, 1
2024/10/16, 116, 35, 35, , 1, 1
2024/10/17, 111, 44, 32, , 1, 2
2024/10/18, 139, 41, 21, , 1, 1
2024/10/19, 133, 30, 28, , 1, 1
2024/10/20, 100, 23, 19, , 1, 1
2024/10/21, 77, 13, 10, , 1, 1
2024/10/22, 57, 9, 18, , 1, 1
2024/10/23, 31, 7, 18, , , 
2024/10/24, 27, 8, 9, , , 1
2024/10/25, 40, , , , , 
2024/10/28, 87, 19, 15, , 1, 1
2024/10/29, 67, 33, 28, , 1, 1
2024/10/30, 110, 39, 33, , 1, 1
2024/10/31, 120, 39, 29, , 1, 1
2024/7/1, 41, 10, , , 14, 1
2024/7/2, 50, 7, , , 14, 
2024/7/3, 29, 4, , , 14, 
2024/7/4, 24, 8, , , 14, 1
2024/7/5, 35, 12, , , 14, 
2024/7/6, 45, 13, , , 14, 
2024/7/7, 52, 9, , , 14, 
2024/7/8, 41, 19, , , 14, 
2024/7/9, 34, , , , , 
2024/7/11, 41, 8, , , 14, 1
2024/7/12, 43, 11, , , 14, 1
2024/7/13, 55, , , , , 
