date, pm25, pm10, o3, no2, so2, co
2024/11/1, 96, 41, 5, 5, 6, 26
2024/11/2, 85, 46, 5, 5, 12, 16
2024/11/3, 91, 46, 7, 5, 10, 16
2024/11/4, 134, 79, 5, 4, 17, 14
2024/11/5, 160, 81, 11, 4, 4, 9
2024/11/6, 117, 55, 11, 5, 8, 9
2024/11/7, 58, 41, 12, 5, 4, 13
2024/11/8, 60, 52, 11, 5, 35, 13
2024/11/9, 105, 67, 13, 13, 3, 13
2024/11/10, 140, 68, 13, 12, 6, 14
2024/11/11, 146, 34, 10, 12, 8, 6
2024/11/12, 72, 35, 6, 9, 6, 8
2024/11/13, 26, 39, 5, 8, 3, 9
2024/11/14, 43, 42, 5, 9, 3, 6
2024/11/15, 49, 62, 5, 7, 24, 6
2024/11/16, 69, 92, 5, 7, 1, 9
2024/11/17, 133, 89, 6, 8, 10, 10
2024/11/18, 123, 88, 5, 9, 3, 9
2024/11/19, 124, 78, 6, 9, 3, 6
2024/11/20, 103, 86, 6, 10, 7, 9
2024/11/21, 130, 93, 6, 11, 7, 9
2024/11/22, 120, 87, 5, 9, 9, 2
2024/11/23, 131, 71, 6, 10, 2, 8
2024/11/24, 100, 90, 6, 10, 1, 9
2024/11/25, 114, 78, 6, 9, 4, 9
2024/11/26, 164, 85, 5, 9, 2, 6
2024/11/27, 90, 94, 7, 9, 2, 9
2024/11/28, 63, 74, 5, 10, 3, 7
2024/11/29, 143, 60, 7, 9, 2, 7
2024/11/30, 106, , , , , 
2024/10/1, 65, 38, 8, 1, 7, 14
2024/10/2, 43, 46, 9, 1, 7, 14
2024/10/3, 66, 85, 8, 1, 3, 10
2024/10/4, 77, 46, 9, , 1, 9
2024/10/5, 68, 64, 8, 1, 20, 14
2024/10/6, 76, 54, 8, , 9, 9
2024/10/7, 85, 48, 9, 1, 6, 10
2024/10/8, 121, 37, 9, , 6, 12
2024/10/9, 100, 25, 306, 1, 2, 9
2024/10/10, 83, 30, 9, 1, 2, 9
2024/10/11, 70, 15, 9, 1, 1, 2
2024/10/12, 50, 14, 10, 1, 1, 2
2024/10/13, 44, 27, 8, , 1, 6
2024/10/14, 62, 14, 8, , 1, 4
2024/10/15, 47, 10, 8, , 1, 4
2024/10/16, 52, 35, 10, , 1, 7
2024/10/17, 75, 40, 13, , 5, 11
2024/10/18, 100, 40, 14, , 1, 9
2024/10/19, 74, 28, 16, , 1, 8
2024/10/20, 51, 27, 22, 1, 8, 24
2024/10/21, 77, 40, 11, 4, 1, 11
2024/10/22, 64, 104, 12, 5, 5, 16
2024/10/23, 58, 58, 14, 4, 4, 18
2024/10/24, 72, 72, 14, 5, 3, 18
2024/10/25, 103, 102, 15, 5, 2, 15
2024/10/26, 87, 79, 14, 4, 6, 17
2024/10/27, 82, 116, 16, 4, 8, 13
2024/10/28, 108, 121, 12, 4, 7, 8
2024/10/29, 80, 142, 14, 4, 7, 10
2024/10/30, 85, 198, 13, 7, 6, 24
2024/10/31, 145, 53, 14, 5, 6, 27
2024/7/1, 76, 72, 5, 2, 1, 18
2024/7/2, 108, 60, 5, 2, 1, 16
2024/7/3, 117, 63, 7, 1, 1, 17
2024/7/4, 186, 40, 6, 2, 1, 17
2024/7/5, 89, 27, 3, 2, 1, 17
2024/7/6, 64, , , , , 
2024/7/8, 126, , , , , 
2024/7/11, 117, 57, 4, 2, 1, 16
2024/7/12, 122, , , 2, 1, 18
2024/7/15, 74, 25, 3, 2, 1, 19
2024/7/16, 63, 59, 5, 2, 1, 16
2024/7/17, 121, 20, 6, 2, 1, 17
2024/7/18, 35, 37, 5, 2, 1, 17
2024/7/19, 84, 29, 8, 2, 1, 15
2024/7/20, 67, 18, 8, 2, 1, 16
2024/7/21, 49, 17, 8, 2, 1, 16
2024/7/22, 44, 28, 3, 2, 1, 20
2024/7/23, 66, 33, 7, 2, 1, 19
2024/7/24, 75, 19, 8, 2, 1, 16
2024/7/25, 49, 36, 7, 1, 1, 20
2024/7/26, 80, 22, 8, 2, 1, 21
2024/7/27, 54, 23, 7, 2, 1, 13
2024/7/28, 58, 31, 7, 2, 1, 19
2024/7/29, 71, 30, 8, 2, 1, 19
2024/7/30, 69, 18, 8, 2, 1, 18
2024/7/31, 50, 31, 7, 1, 1, 15
2024/8/1, 73, 31, 7, 2, 1, 18
2024/8/2, 72, 17, 7, 2, 1, 17
2024/8/3, 47, 13, 7, 1, 1, 16
2024/8/4, 37, 19, 5, 1, 1, 22
2024/8/5, 47, 35, 6, 2, 1, 20
2024/8/6, 68, 17, 7, 2, 1, 19
2024/8/7, 45, 13, 8, 2, 1, 19
2024/8/8, 39, 37, 3, 2, 1, 36
2024/8/9, 82, 24, 8, 2, 1, 17
2024/8/10, 58, 18, 8, 2, 1, 17
2024/8/11, 48, 22, 8, 2, 1, 17
2024/8/12, 55, 22, 6, 2, 1, 19
2024/8/13, 57, 17, 8, 2, 1, 18
2024/8/14, 48, 12, 7, 2, 1, 19
2024/8/15, 36, 22, 7, 2, 1, 21
2024/8/16, 53, 23, 7, 2, 1, 19
2024/8/17, 58, 21, 8, 2, 1, 19
2024/8/18, 54, 22, 7, 2, 1, 16
2024/8/19, 56, , , , , 
2024/8/21, 59, 10, 4, 2, 1, 19
2024/8/22, 29, , , , , 
2024/8/24, 60, , , , , 
2024/8/27, 94, 29, 5, 1, 1, 3
2024/8/28, 67, 28, 7, 1, 1, 4
2024/8/29, 68, 23, 6, , 1, 4
2024/8/30, 57, 25, 5, , 1, 4
2024/8/31, 61, 14, 6, , 3, 4
2024/9/1, 40, 22, 9, 1, 5, 4
2024/9/2, 53, 44, 3, , 5, 4
2024/9/3, 96, 22, 5, 1, 5, 4
2024/9/4, 57, 28, 5, , 4, 4
