date, pm25, pm10, o3, no2, so2, co
2024/12/1, 101, , , , , 
2024/11/1, 140, 82, 25, 23, 9, 11
2024/11/2, 131, 88, 25, 22, 9, 11
2024/11/3, 157, 88, 11, 23, 9, 13
2024/11/4, 155, 83, 58, 23, 10, 14
2024/11/5, 153, 85, 20, 20, 12, 20
2024/11/6, 153, 90, 22, 22, 7, 13
2024/11/7, 157, 85, 17, 22, 7, 15
2024/11/8, 149, 73, 16, 23, 9, 15
2024/11/9, 129, 81, 19, 25, 7, 15
2024/11/10, 133, 81, 19, 19, 7, 12
2024/11/11, 146, 71, 24, 19, 7, 8
2024/11/12, 125, 71, 30, 19, 9, 13
2024/11/13, 129, 84, 23, 18, 5, 10
2024/11/14, 153, 75, 25, 21, 5, 8
2024/11/15, 131, 66, 24, 20, 5, 10
2024/11/16, 117, 91, 17, 19, 5, 13
2024/11/17, 139, 128, 12, 22, 6, 16
2024/11/18, 183, 84, 19, 22, 6, 14
2024/11/19, 155, 94, 17, 21, 6, 9
2024/11/20, 164, 75, 16, 20, 6, 9
2024/11/21, 144, 77, 19, 21, 7, 7
2024/11/22, 139, 75, 18, 22, 6, 10
2024/11/23, 135, 67, 26, 23, 5, 16
2024/11/24, 111, 66, 67, 23, 5, 16
2024/11/25, 113, 78, 14, 20, 10, 18
2024/11/26, 128, 87, 16, 24, 5, 10
2024/11/27, 138, 82, 16, 23, 6, 8
2024/11/28, 129, 81, 18, 23, 6, 14
2024/11/29, 123, 84, 20, 24, 5, 10
2024/11/30, 121, 73, 14, 24, 5, 15
2024/10/1, 91, 57, 10, 16, 7, 5
2024/10/2, 73, 51, 10, 17, 7, 4
2024/10/3, 63, 54, 13, 18, 6, 5
2024/10/4, 67, 51, 12, 18, 6, 4
2024/10/5, 83, 60, 13, 18, 7, 5
2024/10/6, 92, 58, 14, 18, 6, 5
2024/10/7, 79, 58, 19, 20, 7, 6
2024/10/8, 78, 60, 15, 20, 7, 6
2024/10/9, 84, 57, 21, 20, 7, 5
2024/10/10, 80, 56, 24, 23, 6, 12
2024/10/11, 81, 60, 32, 18, 7, 6
2024/10/12, 89, 61, 30, 18, 10, 5
2024/10/13, 93, 62, 29, 12, 7, 10
2024/10/14, 90, 57, 19, 12, 10, 9
2024/10/15, 83, 64, 64, 5, 7, 11
2024/10/16, 86, 69, 21, 8, 6, 10
2024/10/17, 95, 72, 16, 18, 5, 12
2024/10/18, 103, 69, 16, 15, 7, 11
2024/10/19, 92, 68, 16, 18, 7, 10
