date, pm25, pm10, o3, no2
2024/11/13, 52, 10, 8, 6
2024/11/14, 37, 6, 9, 3
2024/11/15, 19, 10, 14, 3
2024/11/16, 35, 16, 19, 5
2024/11/17, 53, 19, 25, 10
2024/11/18, 57, 16, 29, 4
2024/11/19, 52, 12, 28, 2
2024/11/20, 39, 10, 29, 1
2024/11/21, 22, 11, 26, 1
2024/11/22, 18, 7, 27, 1
2024/11/23, 20, 10, 26, 4
2024/11/24, 27, 17, 26, 12
2024/11/25, 44, 16, 27, 9
2024/11/26, 42, 22, 27, 8
2024/11/27, 54, 20, 28, 4
2024/11/28, 55, 14, 28, 1
2024/11/29, 41, 5, 18, 1
2024/11/30, 13, , , 
2024/10/1, 20, 12, 39, 2
2024/10/2, 14, 16, 37, 2
2024/10/3, 30, 24, 31, 7
2024/10/4, 28, 17, 26, 
2024/10/5, 25, 11, 36, 1
2024/10/6, 17, 10, 30, 5
2024/10/7, 10, 9, 34, 3
2024/10/8, 13, 14, 33, 6
2024/10/9, 22, 14, 30, 3
2024/10/10, 22, 24, 28, 5
2024/10/11, 32, 12, 30, 1
2024/10/12, 27, 11, 28, 1
2024/10/13, 20, 11, 19, 4
2024/10/14, 25, , , 
2024/7/1, 24, 19, 44, 1
2024/7/2, 35, 11, 35, 1
2024/7/3, 17, 10, 37, 1
2024/7/4, 27, 12, 45, 1
2024/7/5, 32, 14, 46, 2
2024/7/6, 28, 16, 48, 1
2024/7/7, 29, 18, 46, 2
2024/7/8, 27, 25, 63, 2
2024/7/9, 40, 28, 48, 1
2024/7/10, 47, 34, 56, 4
2024/7/11, 45, 28, 57, 3
2024/7/12, 39, 29, 51, 3
2024/7/13, 45, 27, 49, 2
2024/7/14, 50, 33, 53, 4
2024/7/15, 52, 27, 58, 6
2024/7/16, 42, 31, 55, 4
2024/7/17, 52, 32, 63, 5
2024/7/18, 50, 29, 53, 3
2024/7/19, 46, 22, 49, 2
2024/7/20, 47, 19, 49, 1
2024/7/21, 40, 22, 55, 2
2024/7/22, 47, 22, 48, 2
2024/7/23, 50, 19, 49, 2
2024/7/24, 44, 15, 44, 1
2024/7/25, 41, 19, 41, 4
2024/7/26, 22, 13, 50, 1
2024/7/27, 25, 13, 43, 1
2024/7/28, 32, 22, 53, 4
2024/7/29, 34, 28, 61, 2
2024/7/30, 49, , , 
2024/8/1, 26, 16, 45, 2
2024/8/2, 26, 28, 49, 2
2024/8/3, 54, 20, 46, 1
2024/8/4, 42, 14, 48, 1
2024/8/5, 31, 22, 50, 3
2024/8/6, 40, 16, 43, 2
2024/8/7, 31, 17, 40, 1
2024/8/8, 28, 17, 43, 2
2024/8/9, 26, 16, 42, 1
2024/8/10, 27, 15, 47, 1
2024/8/11, 22, 17, 50, 3
2024/8/12, 33, 16, 47, 1
2024/8/13, 29, 13, 45, 
2024/8/14, 21, , , 
2024/8/18, 19, 10, 36, 2
2024/8/19, 31, , , 
2024/8/24, 42, 22, 46, 1
2024/8/25, 36, 21, 39, 
2024/8/26, 53, , , 
2024/8/30, 34, 14, 38, 
2024/8/31, 46, , , 
2024/9/2, 39, 25, 45, 4
2024/9/3, 40, 28, 45, 6
2024/9/4, 43, 48, 41, 2
2024/9/5, 57, , , 
2024/9/7, 50, 23, 36, 1
2024/9/8, 34, 23, 41, 1
2024/9/9, 23, 14, 26, 3
2024/9/10, 24, , , 
2024/9/12, 25, 8, 37, 1
2024/9/13, 15, 10, 39, 3
2024/9/14, 13, 5, 35, 3
