date, pm25, pm10, o3, no2, so2, co
2024/12/1, 248, , , , , 
2024/11/1, 405, 338, 157, 22, 6, 15
2024/11/2, 352, 302, 92, 25, 5, 19
2024/11/3, 347, 282, 85, 25, 4, 19
2024/11/4, 314, 261, 82, 24, 5, 20
2024/11/5, 258, 236, 87, 25, 4, 20
2024/11/6, 268, 312, 74, 26, 3, 18
2024/11/7, 322, 261, 65, 23, 4, 17
2024/11/8, 305, 208, 51, 27, 3, 15
2024/11/9, 259, 210, 64, 24, 5, 20
2024/11/10, 261, 218, 78, 24, 5, 23
2024/11/11, 262, 127, 56, 24, 5, 18
2024/11/12, 241, 476, 76, 22, 5, 25
2024/11/13, 464, 394, 22, 26, 6, 19
2024/11/14, 394, , , , , 
2024/11/16, 373, 425, 57, 23, 5, 21
2024/11/17, 453, 726, 44, 19, 4, 25
2024/11/18, 625, 278, 47, 27, 12, 18
2024/11/19, 359, 296, 67, 28, 9, 22
2024/11/20, 332, 258, 58, 27, 9, 20
2024/11/21, 312, 337, 58, 29, 11, 21
2024/11/22, 364, 330, 63, 30, 11, 22
2024/11/23, 352, 191, 48, 24, 8, 17
2024/11/24, 245, 281, 50, 25, 8, 18
2024/11/25, 330, 175, 52, 24, 8, 17
2024/11/26, 242, 189, 56, 25, 9, 20
2024/11/27, 242, 208, 70, 24, 10, 22
2024/11/28, 267, 257, 64, 29, 12, 24
2024/11/29, 286, 222, 49, 25, 9, 20
2024/11/30, 277, 174, 2, 24, 5, 14
2024/10/1, 150, 106, 48, 13, 4, 15
2024/10/2, 149, 117, 62, 14, 5, 14
2024/10/3, 129, 116, 49, 14, 4, 15
2024/10/4, 134, 99, 35, 11, 5, 15
2024/10/5, 111, 88, 53, 10, 5, 12
2024/10/7, 121, 106, 63, 17, 4, 13
2024/10/8, 152, 95, 61, 16, 4, 14
2024/10/9, 152, 92, 51, 14, 4, 13
2024/10/10, 132, 90, 67, 15, 4, 13
2024/10/11, 146, 107, 69, 18, 5, 15
2024/10/12, 164, 129, 80, 20, 6, 18
2024/10/13, 174, 141, 71, 20, 6, 20
2024/10/14, 175, 124, 64, 20, 5, 18
2024/10/15, 165, 153, 85, 26, 6, 19
2024/10/16, 180, 190, 92, 29, 7, 23
2024/10/17, 209, 188, 80, 24, 6, 22
2024/10/18, 202, 173, 77, 24, 6, 19
2024/10/19, 195, 184, 78, 20, 5, 21
2024/10/20, 214, 165, 68, 20, 5, 15
2024/10/21, 218, 175, 77, 24, 5, 20
2024/10/22, 228, 211, 52, 20, 5, 19
2024/10/23, 272, 145, 70, 17, 5, 15
2024/10/24, 209, 152, 26, 20, 4, 13
2024/10/25, 208, 219, 28, 25, 5, 14
2024/10/26, 237, 264, 40, 23, 5, 31
2024/10/27, 281, 164, 42, 31, 4, 13
2024/10/28, 189, 170, 63, 30, 4, 20
2024/10/29, 204, 198, 111, 25, 4, 24
2024/10/30, 219, 267, 61, 21, 13, 19
2024/10/31, 293, 402, 68, 17, 12, 18
2024/7/1, 129, 76, 16, 10, 1, 11
2024/7/2, 114, 66, 11, 12, 1, 11
2024/7/3, 108, 44, 25, 9, 1, 11
2024/7/4, 80, 57, 29, 11, 2, 10
2024/7/5, 97, 49, 25, 6, 2, 11
2024/7/6, 82, 33, 19, 5, 1, 10
2024/7/7, 34, 46, 21, 7, 1, 10
2024/7/8, 69, 70, 28, 12, 1, 12
2024/7/9, 120, 87, 28, 13, 1, 12
2024/7/10, 151, 86, 31, 9, 1, 11
2024/7/11, 144, 66, 18, 9, 1, 11
