date, pm25, co
2024/12/1, 100, 
2024/11/2, 149, 59
2024/11/3, 155, 48
2024/11/4, 111, 44
2024/11/5, 102, 39
2024/11/6, 87, 39
2024/11/7, 109, 50
2024/11/8, 127, 38
2024/11/9, 68, 44
2024/11/10, 116, 43
2024/11/11, 128, 42
2024/11/12, 125, 38
2024/11/13, 108, 31
2024/11/14, 73, 38
2024/11/15, 123, 44
2024/11/16, 140, 50
2024/11/17, 162, 28
2024/11/18, 140, 32
2024/11/19, 161, 34
2024/11/20, 152, 33
2024/11/21, 146, 30
2024/11/22, 150, 35
2024/11/23, 112, 36
2024/11/24, 102, 44
2024/11/25, 158, 40
2024/11/26, 136, 48
2024/11/27, 106, 40
2024/11/28, 73, 39
2024/11/29, 66, 51
2024/11/30, 100, 56
2024/10/1, 84, 39
2024/10/2, 116, 34
2024/10/3, 124, 45
2024/10/4, 134, 
2024/10/6, 81, 50
2024/10/7, 94, 52
2024/10/8, 93, 40
2024/10/9, 132, 33
2024/10/10, 136, 30
2024/10/11, 131, 34
2024/10/12, 125, 27
2024/10/13, 143, 
2024/10/15, 153, 25
2024/10/16, 145, 28
2024/10/17, 124, 28
2024/10/18, 109, 27
2024/10/19, 89, 28
2024/10/20, 102, 46
2024/10/21, 138, 38
2024/10/22, 81, 42
2024/10/23, 97, 29
2024/10/24, 83, 41
2024/10/25, 80, 37
2024/10/26, 76, 38
2024/10/27, 67, 44
2024/10/28, 93, 44
2024/10/29, 57, 40
2024/10/30, 61, 
2024/7/2, 91, 29
2024/7/3, 113, 39
2024/7/4, 112, 38
2024/7/5, 132, 33
2024/7/6, 110, 26
2024/7/7, 88, 27
2024/7/8, 72, 48
2024/7/9, 69, 50
2024/7/10, 78, 54
2024/7/11, 89, 56
2024/7/12, 91, 55
2024/7/13, 89, 51
2024/7/14, 71, 54
2024/7/15, 72, 56
2024/7/16, 71, 48
2024/7/17, 73, 45
2024/7/18, 86, 44
2024/7/19, 85, 49
2024/7/20, 82, 
2024/7/23, 89, 46
2024/7/24, 83, 
2024/9/4, 90, 36
2024/9/5, 88, 38
2024/9/6, 85, 37
2024/9/7, 138, 38
2024/9/8, 102, 39
2024/9/9, 90, 37
2024/9/10, 80, 32
2024/9/11, 70, 31
2024/9/12, 80, 33
2024/9/13, 80, 39
2024/9/14, 105, 38
2024/9/15, 90, 35
2024/9/16, 61, 37
2024/9/17, 57, 38
2024/9/18, 68, 43
2024/9/19, 90, 46
2024/9/20, 74, 39
2024/9/21, 94, 40
2024/9/22, 101, 34
2024/9/23, 89, 30
2024/9/24, 85, 42
2024/9/25, 102, 38
2024/9/26, 113, 35
2024/9/27, 73, 32
2024/9/28, 57, 38
2024/9/29, 73, 38
2024/9/30, 70, 37
2024/4/1, 63, 18
2024/4/2, 66, 18
2024/4/3, 60, 17
2024/4/4, 65, 13
2024/4/5, 87, 9
2024/4/6, 98, 7
2024/4/7, 83, 
2024/4/8, 88, 
2024/4/9, 95, 
2024/4/10, 77, 
2024/4/11, 77, 
2024/4/12, 40, 
2024/4/13, 55, 
2024/4/14, 84, 
2024/4/15, 72, 
2024/4/16, 53, 
2024/4/17, 63, 
2024/4/18, 76, 37
2024/4/19, 85, 29
2024/4/20, 90, 35
2024/4/21, 102, 29
2024/4/22, 97, 41
2024/4/23, 86, 50
2024/4/24, 79, 31
2024/4/25, 69, 31
2024/4/26, 85, 27
2024/4/27, 65, 
2024/4/28, 55, 
2024/4/29, 61, 
2024/4/30, 64, 
2024/5/1, 57, 
2024/5/2, 67, 
2024/5/3, 68, 
2024/5/4, 62, 
2024/5/5, 61, 
2024/5/6, 92, 
2024/5/7, 73, 
2024/5/8, 65, 
2024/5/9, 70, 
2024/5/10, 58, 
2024/5/11, 56, 
2024/5/12, 56, 
2024/5/13, 71, 
2024/5/14, 72, 
2024/5/15, 72, 
2024/5/16, 91, 
2024/5/17, 70, 
2024/5/18, 74, 
2024/5/19, 62, 
2024/5/20, 52, 
2024/5/21, 74, 27
2024/5/22, 79, 33
2024/5/23, 85, 40
2024/5/24, 74, 29
2024/5/25, 64, 32
2024/5/26, 63, 33
2024/5/27, 68, 37
2024/5/28, 89, 53
2024/5/29, 121, 34
2024/5/30, 94, 37
2024/5/31, 85, 49
2024/6/1, 81, 42
2024/6/2, 88, 34
2024/6/3, 95, 38
2024/6/4, 89, 38
2024/6/5, 91, 33
2024/6/6, 74, 30
2024/6/7, 64, 35
2024/6/8, 61, 28
2024/6/9, 57, 41
2024/6/10, 70, 44
2024/6/11, 132, 
2024/6/24, 92, 
2024/1/1, 138, 33
2024/1/2, 133, 34
2024/1/3, 126, 35
2024/1/4, 113, 
2024/1/6, 97, 34
2024/1/7, 86, 32
2024/1/8, 95, 33
2024/1/9, 124, 41
2024/1/10, 114, 
2024/1/17, 93, 30
2024/1/18, 85, 29
