address,state,city,zipcode,county,country,coordinates
unnamed road,Punjab,Rawalpindi,23451,Rawalpindi District,Pakistan,"('33.5650551', '73.0168993')"
,National Capital Territory of Delhi,,,North Delhi,India,"('28.65381', '77.22897')"
,National Capital Territory of Delhi,,,North Delhi,India,"('28.65381', '77.22897')"
,National Capital Territory of Delhi,,,North Delhi,India,"('28.65381', '77.22897')"
,National Capital Territory of Delhi,,,North Delhi,India,"('28.65381', '77.22897')"
IIT Flyover,Delhi,New Delhi,110066,Hauz Khas Tehsil,India,"('28.5503805', '77.1855231')"
IIT Flyover,Delhi,New Delhi,110066,Hauz Khas Tehsil,India,"('28.5503805', '77.1855231')"
Mehrauli Badarpur Road,Delhi,,110080,Kalkaji Tehsil,India,"('28.5000822', '77.2675147')"
Mehrauli Badarpur Road,Delhi,,110080,Kalkaji Tehsil,India,"('28.5000822', '77.2675147')"
Ghazipur Road,Delhi,,110092,Vivek Vihar Tehsil,India,"('28.6468336', '77.3158749')"
Ghazipur Road,Delhi,,110092,Vivek Vihar Tehsil,India,"('28.6468336', '77.3158749')"
